Наименование материала,Тип материала,Изображение,Цена,Количество на складе,Минимальное количество,Количество в упаковке,Единица измерения
Гранулы белый 2x2,1,не указано,47680,76,8,7,л
Нить серый 1x0,2,не указано,27456,На складе: 978,42,1,м
Нить белый 1x3,3,не указано,2191 руб.,406 в наличии,27,8,м
Нить цветной 1x1,2,\materials\image_5.jpeg,8619,424,10,3,г
Нить цветной 2x0,2,отсутствует,16856.00 ₽,395 в наличии,26,2,м
Краска синий 2x2,2,не указано,403,334,48,6,л
Нить синий 0x2,3,отсутствует,7490 рублей,654,10,9,м
Гранулы серый 2x2,1,не указано,15478.00 ₽,648 в наличии,17,7,л
Краска синий 1x2,2,отсутствует,44490,640,50,2,л
Нить зеленый 2x0,2,\materials\image_10.jpeg,28301.00 ₽,На складе: 535,45,5,м
Гранулы синий 1x2,1,не указано,9242,На складе: 680,6,3,кг
Нить синий 3x2,3,отсутствует,10878 рублей,529 в наличии,13,1,м
Краска белый 2x2,2,\materials\image_3.jpeg,29906,659 в наличии,35,1,л
Краска зеленый 0x3,2,не указано,24073 рублей,50 в наличии,48,2,л
Нить зеленый 2x3,3,отсутствует,20057,649,25,7,г
Краска белый 2x1,2,не указано,3353 рублей,790,8,2,л
Нить серый 2x3,3,не указано,22452 руб.,На складе: 431,40,1,г
Гранулы серый 3x2,1,нет,29943 руб.,На складе: 96,9,5,л
Краска серый 3x2,2,отсутствует,55064.00 ₽,806,50,3,л
Гранулы белый 0x3,1,нет,7183,538 в наличии,11,3,кг
Краска цветной 1x1,2,отсутствует,43466 рублей,784 в наличии,22,3,л
Гранулы белый 1x0,1,нет,27718 рублей,На складе: 980,41,3,кг
Краска серый 0x2,2,отсутствует,33227 рублей,679,36,3,кг
Гранулы серый 3x3,1,нет,15170.00 ₽,2,38,5,л
Краска серый 3x0,2,не указано,19352 руб.,341 в наличии,38,7,кг
Гранулы синий 2x1,1,\materials\image_2.jpeg,231 рублей,273 в наличии,17,9,л
Гранулы синий 0x2,1,не указано,41646,576,36,9,л
Нить цветной 1x0,3,не указано,24948 руб.,91 в наличии,38,5,г
Краска зеленый 2x2,2,не указано,19014.00 ₽,На складе: 752,36,2,кг
Краска цветной 1x3,2,отсутствует,268,730,5,9,кг
Краска серый 2x0,2,не указано,35256 рублей,На складе: 131,22,2,л
Нить зеленый 2x1,3,не указано,34556,802 в наличии,16,6,м
